startWochentag;startDatum;startKM;startOrt;endeWochentag;endeDatum;endeKM;endeOrt;ereignis;bemerkung
Thu;22.03.2018.19:30;124987;JET - Kaiserslautern;Thu;22.03.2018.20:00;125005;TimeTec;Fahrt;
Thu;22.03.2018.18:15;124913;VKB - Saarbrücken;Thu;22.03.2018.19:20;124987;JET - Kaiserslautern;Fahrt;
Thu;22.03.2018.06:00;124848;TimeTec;Thu;22.03.2018.06:45;124913;VKB - Saarbrücken;Fahrt;
Tue;20.03.2018.17:00;124350;Primas - WOB;Tue;20.03.2018.21:30;124848;TimeTec;Fahrt;
Tue;20.03.2018.16:30;124347;Esso - Pirali;Thu;22.03.2018.16:40;124350;Primas - WOB;Fahrt;
Tue;20.03.2018.16:15;124345;Primas - WOB;Tue;20.03.2018.16:20;124347;ESSO - Pirali;Fahrt;
Tue;20.03.2018.15:10;124342;Hotz + Heidmann WOB;Tue;20.03.2018.15:20;124345;Primas - WOB;Fahrt;
Tue;20.03.2018.06:45;124332;Hotz + Heidmann WOB;Tue;20.03.2018.15:00;124342;Hotz + Heidmann WOB;Fahrt;Probefahrten des Autohaus Hotz und Heidmann
Mon;19.03.2018.06:30;124330;Primas - WOB;Mon;19.03.2018.06:45;124332;Hotz + Heidmann WOB;Fahrt;Autohaus Hotz und Heidmann - wechsel Frontscheibe - Steinschlag
Sun;18.03.2018.16:30;123813;TimeTec;Sun;18.03.2018.20:15;124330;Primas - WOB;Fahrt;
Fri;16.03.2018.16:30;123748;VKB - Saarbrücken;Fri;16.03.2018.17:15;123813;TimeTec;Fahrt;
Fri;16.03.2018.06:00;123684;TimeTec;Fri;16.03.2018.06:45;123748;VKB - Saarbrücken;Fahrt;
Thu;15.03.2018.17:20;123661;JET - Kaiserslautern;Thu;15.03.2018.17:40;123684;TimeTec;Fahrt;
Thu;15.03.2018.16:00;123587;VKB - Saarbrücken;Thu;15.03.2018.17:00;123661;JET - Kaiserslautern;Fahrt;
Thu;15.03.2018.06:00;123522;TimeTec ;Thu;15.03.2018.06:45;123587;VKB - Saarbrücken;Fahrt;
Wed;14.03.2018.16:30;123455;VKB - Saarbrücken;Wed;14.03.2018.17:45;123522;TimeTec ;Fahrt;
Wed;14.03.2018.06:30;123380;TimeTec;Wed;14.03.2018.07:20;123455;VKB - Saarbrücken;Fahrt;Stauumfahrung
Fri;09.03.2018.16:30;123205;VKB - Saarbrücken;Fri;09.03.2018.17:45;123272;TimeTec;Fahrt;
Fri;09.03.2018.06:00;123138;TimeTec;Fri;09.03.2018.07:00;123205;VKB - Saarbrücken;Fahrt;
Thu;08.03.2018.16:20;123073;VKB - Saarbrücken;Thu;08.03.2018.17:10;123138;TimeTec;Fahrt;
Thu;08.03.2018.06:00;123006;TimeTec;Thu;08.03.2018.06:50;123073;VKB - Saarbrücken;Fahrt;
Tue;06.03.2018.23:00;122978;KL - Kanalstrasse;Tue;06.03.2018.23:45;123006;TimeTec;Fahrt;
Sun;04.03.2018.16:00;122958;TimeTec;Sun;04.03.2018.16:30;122978;KL - Kanalstrasse;Fahrt;Parken - Da mit Zug nach WOB gefahren. Auto blieb Montag und Dienstag in KL stehen.
Sat;03.03.2018.13:30;122940;HEM - Kaiserslautern;Sat;03.03.2018.14:00;122958;TimeTec;Fahrt;
Sat;03.03.2018.13:00;122921;TimeTec;Sat;03.03.2018.13:15;122940;HEM - Kaiserslautern;Fahrt;
Fri;02.03.2018.15:00;122850;VKB - Saarbrücken;Fri;02.03.2018.15:50;122921;TimeTec;Fahrt;
Fri;02.03.2018.06:00;122783;TimeTec;Fri;02.03.2018.06:45;122850;VKB - Saarbrücken;Fahrt;
Thu;01.03.2018.16:30;122717;VKB - Saarbrücken ;Thu;01.03.2018.17:30;122783;TimeTec;Fahrt;
Thu;01.03.2018.06:00;122650;TimeTec ;Thu;01.03.2018.06:50;122717;VKB - Saarbrücken ;Fahrt;
Wed;28.02.2018.16:30;122145;Primas - WOB;Wed;28.02.2018.20:45;122650;TimeTec;Fahrt;
Tue;27.02.2018.10:30;122117;BZN - Wolfsburg;Tue;27.02.2018.10:45;122121;Primas - WOB;Fahrt;
Tue;27.02.2018.08:00;122114;Primas - WOB;Tue;27.02.2018.08:15;122117;BZN - Wolfsburg;Fahrt;
Mon;26.02.2018.18:00;122112;Esso - Pirali;Mon;26.02.2018.18:15;122114;Primas - WOB;Fahrt;
Mon;26.02.2018.17:40;122110;Primas - WOB;Mon;26.02.2018.17:45;122112;ESSO - Pirali;Fahrt;
Sun;25.02.2018.16:00;121611;TimeTec;Sun;25.02.2018.20:45;122110;Primas - WOB;Fahrt;
Sat;24.02.2018.14:40;121590;Total - KL;Sat;24.02.2018.15:00;121611;TimeTec;Fahrt;
Sat;24.02.2018.14:00;121572;TimeTec;Sat;24.02.2018.14:20;121590;Total - KL;Fahrt;
Fri;23.02.2018.16:30;121508;VKB - Saarbrücken ;Fri;23.02.2018.17:45;121572;TimeTec;Fahrt;
Fri;23.02.2018.06:00;121439;TimeTec ;Fri;23.02.2018.07:00;121508;VKB - Saarbrücken ;Fahrt;
Thu;22.02.2018.16:15;121368;VKB - Saarbrücken ;Thu;22.02.2018.17:00;121439;TimeTec ;Fahrt;
Thu;22.02.2018.06:00;121300;TimeTec ;Thu;22.02.2018.06:50;121368;VKB - Saarbrücken ;Fahrt;
Wed;21.02.2018.11:30;120792;Primas - WOB;Wed;21.02.2018.16:00;121300;TimeTec ;Fahrt;
Mon;19.02.2018.17:25;120711;ESSO - Pirali - WOB;Mon;19.02.2018.17:35;120713;Primas - WOB;Fahrt;
Mon;19.02.2018.17:00;120709;Primas - WOB;Mon;19.02.2018.17:10;120711;ESSO - Pirali - WOB;Fahrt;
Mon;19.02.2018.15:15;120705;BZN - Wolfsburg;Mon;19.02.2018.15:30;120709;Primas - WOB;Fahrt;
Mon;19.02.2018.13:00;120700;Primas - WOB;Mon;19.02.2018.13:10;120705;BZN - Wolfsburg;Fahrt;
Sun;18.02.2018.16:30;120205;TimeTec;Sun;18.02.2018.20:45;120700;Primas - WOB;Fahrt;
Fri;16.02.2018.16:08;120099;JET - Kaiserslautern;Fri;16.02.2018.16:30;120120;TimeTec;Fahrt;
Fri;16.02.2018.15:00;120024;VKB - Saarbrücken;Fri;16.02.2018.16:00;120099;JET - Kaiserslauterm;Fahrt;
